,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
68,6000000,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
69,5600000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
70,17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
71,12000000,1415,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
72,15000000,1685,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
73,13000000,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
74,16600000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
75,13000000,1395,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
76,9400000,1200,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
77,5700000,650,Kharghar,,0,0,1,1,1,1,1,1,0,1,0,0,0,0
78,5500000,560,Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0
79,6000000,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
80,5600000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
81,4900000,655,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
82,13500000,1390,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
83,22000000,1590,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
84,17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1
85,17800000,1716,Kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
86,14000000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
87,7200000,1050,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
88,7000000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0
89,15000000,1635,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,1,0,1
90,10000000,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
91,17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,1,0,0,1,1
92,11000000,1415,Kharghar,3,0,1,1,1,,1,0,1,1,1,1,0,1,1
93,13000000,1800,Kharghar,3,0,1,1,1,,1,1,1,1,1,0,0,1,1
94,12500000,1147,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
95,13000000,1197,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1
96,15000000,1300,Kharghar,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1
97,7500000,1050,Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0
98,9500000,1240,Kharghar,2,0,1,1,1,1,1,1,1,0,1,1,0,1,1
99,5500000,650,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
100,5000000,600,Sector 20 Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0
101,5000000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
102,5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
103,4200000,650,Kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
104,4200000,646,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
105,6000000,740,Kharghar,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
106,5000000,570,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
107,5500000,670,Kharghar,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
108,4300000,640,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
109,15500000,1700,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
110,11399999,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
111,12000000,1530,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
112,16000000,1750,Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,1,0,0
113,22000000,1590,Kharghar,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1
114,11000000,1415,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
115,16600000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
116,14000000,1687,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
117,8500000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1
118,6000000,555,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
119,4900000,600,Kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
120,4200000,646,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
121,4500000,650,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
122,4300000,640,Kharghar,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
123,5500000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
124,13500000,1400,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
125,15000000,1780,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
126,14000000,1687,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
127,6900000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
128,8300000,1050,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
129,9000000,1160,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
130,5100000,700,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
131,5200000,625,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
132,5500000,670,Kharghar,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1
133,5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
134,5400000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
135,5300000,660,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
136,5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
137,5000000,570,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
138,14000000,1550,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
139,17100000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
140,11800000,1475,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
141,6000000,759,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
142,4850000,600,Kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
143,4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
144,4100000,620,Kharghar,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1
145,5000000,550,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
146,5500000,745,Kharghar,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0
147,4500000,580,Kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
148,5300000,670,Kharghar,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
149,19000000,1845,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
150,13500000,1400,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
151,13600000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
152,15500000,1645,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
153,16500000,1585,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
154,8600000,1350,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
155,10000000,1075,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
156,10500000,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
157,4700000,625,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
158,6200000,720,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
159,4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
160,6900000,735,Kharghar,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
161,4500000,580,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
162,10000000,1505,Kharghar,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
163,13000000,1630,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
164,11000000,1550,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
165,13000000,1455,Sector 18 Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
166,10500000,1098,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
167,13000000,1210,Sector 15 Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0
168,9500000,1000,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
169,4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
170,13000000,1630,Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
171,13600000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
172,16200000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
173,15000000,1440,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
174,13200000,1370,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
175,7500000,1022,Sector 18 Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
